Date,MMM,AAPL,CAT
2008-04-29,76.86,25.01,81.51
2008-04-30,76.9,24.85,81.88
2008-05-01,77.84,25.71,82.35
2008-05-02,78.55,25.85,82.8
2008-05-05,77.55,26.39,82.75
2008-05-06,77.76,26.67,83.23
2008-05-07,76.68,26.08,81.63
2008-05-08,76.95,26.44,82.42
2008-05-09,76.32,26.21,81.76
2008-05-12,77.67,26.88,83.82
2008-05-13,77.18,27.14,84.07
2008-05-14,77.73,26.61,82.75
2008-05-15,77.86,27.1,83.5
2008-05-16,78.66,26.8,83.7
2008-05-19,79.05,26.23,84.28
2008-05-20,77.53,26.56,83.84
2008-05-21,76.12,25.46,83.4
2008-05-22,76.64,25.29,82.22
2008-05-23,75.81,25.88,81.55
2008-05-27,76.17,26.63,81.95
2008-05-28,76.9,26.72,83.19
2008-05-29,77.76,26.67,82.78
2008-05-30,77.56,26.96,82.64
2008-06-02,76.25,26.59,82.33
2008-06-03,76.23,26.48,82.42
2008-06-04,76.36,26.46,82.46
2008-06-05,77.5,27.06,82.73
2008-06-06,74.86,26.52,79.99
2008-06-09,75.82,25.94,80.81
2008-06-10,76,26.52,80.1
2008-06-11,75.27,25.83,78.93
2008-06-12,75.55,24.75,80.5
2008-06-13,76.12,24.62,81.5
2008-06-16,75.2,25.26,80.91
2008-06-17,74.97,25.92,80.69
2008-06-18,74.3,25.54,79.7
2008-06-19,74.12,25.84,79.48
2008-06-20,73.02,25.04,79.08
2008-06-23,72.96,24.74,80
2008-06-24,72.43,24.75,76.64
2008-06-25,72.57,25.34,76.58
2008-06-26,70.26,24.04,74.28
2008-06-27,69.51,24.3,73.75
2008-06-30,69.59,23.92,73.82
2008-07-01,69.78,24.95,74.09
2008-07-02,68.48,24.03,70.42
2008-07-03,69.46,24.3,70.31
2008-07-07,69.85,25.02,70.81
2008-07-08,71.03,25.65,69.51
2008-07-09,68.64,24.89,68.43
2008-07-10,68.92,25.23,68.42
2008-07-11,68.72,24.65,69.81
2008-07-14,69.02,24.84,69.67
2008-07-15,67.69,24.23,67.04
2008-07-16,68.64,24.69,70.53
2008-07-17,69.45,24.54,71.83
2008-07-18,68.94,23.59,70.89
2008-07-21,68.73,23.76,73.23
2008-07-22,70.3,23.15,74.98
2008-07-23,70.8,23.75,72.42
2008-07-24,71.05,22.72,69.78
2008-07-25,70.95,23.16,70.48
2008-07-28,69.63,22.06,69.19
2008-07-29,70.49,22.44,70.99
2008-07-30,71.3,22.84,72.07
2008-07-31,70.39,22.71,69.52
2008-08-01,70.15,22.38,68.14
2008-08-04,69.75,21.89,67.43
2008-08-05,71.88,22.95,68.18
2008-08-06,71.81,23.46,70.51
2008-08-07,71.18,23.37,68.93
2008-08-08,73.48,24.22,70.9
2008-08-11,74.38,24.79,70.8
2008-08-12,73.6,25.25,71.81
2008-08-13,72.96,25.61,69.83
2008-08-14,73.04,25.62,70.29
2008-08-15,73.49,25.11,70.35
2008-08-18,72.45,25.06,69.22
2008-08-19,71.31,24.79,68.69
2008-08-20,70.69,25.12,68.8
2008-08-21,70.91,24.9,68.7
2008-08-22,72.28,25.26,70.27
2008-08-25,70.73,24.65,68.56
2008-08-26,70.72,24.81,68.68
2008-08-27,70.72,24.95,69.56
